"Id_recorrido","duracion_recorrido","fecha_origen_recorrido","nombre_estacion_origen","long_estacion_origen","lat_estacion_origen","fecha_destino_recorrido","nombre_estacion_destino","long_estacion_destino","lat_estacion_destino","id_usuario","modelo_bicicleta","Género","fecha"
"15242490BAEcobici",2262,2022-08-14 18:16:59,"095 - ESMERALDA",-58.3781678,-34.6021121,2022-08-14 18:54:41,"051 - TUCUMAN",-58.3821261,-34.6014776,"882278BAEcobici","FIT","MALE",2022-08-14
"16737944BAEcobici",728,2022-12-25 15:57:31,"371 - Paseo de las Americas",-58.43522348866,-34.5530794109,2022-12-25 16:09:39,"250 - Fleni",-58.450479,-34.555602,"883125BAEcobici","ICONIC","MALE",2022-12-25
"15315476BAEcobici",414,2022-08-22 14:12:37,"132 - CORRIENTES",-58.372763,-34.6033685,2022-08-22 14:19:31,"038 - Plaza Libertad",-58.3828403,-34.5970497,"739385BAEcobici","ICONIC","MALE",2022-08-22
"14749287BAEcobici",794,2022-06-15 18:03:15,"075 - Plaza Primero de Mayo",-58.3989871,-34.6122976,2022-06-15 18:16:29,"107 - HOSPITAL GARRAHAN",-58.395844,-34.63037718,"754940BAEcobici","ICONIC","MALE",2022-06-15
"13230553BAEcobici",615,2022-01-11 10:05:40,"005 - Plaza Italia",-58.4209542,-34.5805497,2022-01-11 10:15:55,"142 - Armenia y Gorriti",-58.428974,-34.590541,"346350BAEcobici","ICONIC","FEMALE",2022-01-11
"16357511BAEcobici",1911,2022-11-17 12:43:24,"071 - CERRITO",-58.3833559,-34.6026673,2022-11-17 13:15:15,"071 - CERRITO",-58.3833559,-34.6026673,"58988BAEcobici","ICONIC","FEMALE",2022-11-17
"15318056BAEcobici",1126,2022-08-22 17:05:51,"205 - SAN MARTIN",-58.453475,-34.605567,2022-08-22 17:24:37,"025 - Plaza Guemes",-58.4161178,-34.5894269,"674781BAEcobici","ICONIC","OTHER",2022-08-22
"14617827BAEcobici",1450,2022-05-31 17:57:29,"387 - Luna",-58.39965,-34.638584,2022-05-31 18:21:39,"008 - Congreso",-58.3893364,-34.6094218,"24669BAEcobici","FIT","OTHER",2022-05-31
"16143193BAEcobici",751,2022-11-01 00:45:40,"260 - SAN MIGUEL DE GARICOITS",-58.457799,-34.577329,2022-11-01 00:58:11,"104 - Federico Lacroze",-58.455212,-34.587617,"908350BAEcobici","FIT","MALE",2022-11-01
"13756841BAEcobici",1245,2022-03-08 19:14:17,"094 - GÚZMAN",-58.449652,-34.591511,2022-03-08 19:35:02,"125 - F.J.Santamaria de Oro",-58.428016,-34.583323,"700281BAEcobici","FIT","FEMALE",2022-03-08
"14520470BAEcobici",2367,2022-05-19 16:06:16,"036 - MAIPÚ",-58.3767677,-34.6045481,2022-05-19 16:45:43,"146 - Hospital Francés",-58.4078419,-34.6221118,"700760BAEcobici","FIT","FEMALE",2022-05-19
"13211921BAEcobici",2156,2022-01-08 17:07:56,"014 - Pacifico",-58.426387,-34.577424,2022-01-08 17:43:52,"275 - PLAZA 24 DE SEPTIEMBRE",-58.44854,-34.606984,"533086BAEcobici","ICONIC","MALE",2022-01-08
"14294963BAEcobici",578,2022-04-27 12:17:31,"345 - Plaza Mafalda",-58.4445804,-34.5809383,2022-04-27 12:27:09,"070 - ARAOZ",-58.4260597,-34.5926862,"460599BAEcobici","FIT","OTHER",2022-04-27
"14491027BAEcobici",594,2022-05-16 07:28:00,"297 - TRONADOR Y GARCÍA DEL RÍO",-58.485381,-34.554581,2022-05-16 07:37:54,"359 - PLAZA BALCARCE",-58.467844,-34.54754,"354981BAEcobici","ICONIC","FEMALE",2022-05-16
"14638010BAEcobici",1860,2022-06-02 17:32:45,"009 - Parque Las Heras",-58.407741,-34.585443,2022-06-02 18:03:45,"199 - ESTADOS UNIDOS Y BOEDO",-58.4160137,-34.6222601,"100978BAEcobici","ICONIC","MALE",2022-06-02
"13971065BAEcobici",1594,2022-03-28 19:12:18,"258 - Plaza J.J. Paso",-58.453608,-34.569187,2022-03-28 19:38:52,"390 - De Los Ombues",-58.4281,-34.5602,"827846BAEcobici","FIT","MALE",2022-03-28
"14571874BAEcobici",322,2022-05-26 06:26:06,"130 - RETIRO II",-58.37436403,-34.5917376,2022-05-26 06:31:28,"393 - Barrio 31",-58.3790962140903,-34.5822681155566,"325754BAEcobici","ICONIC","FEMALE",2022-05-26
"13857864BAEcobici",677,2022-03-17 08:16:51,"257 - Plaza Francisco Ramirez",-58.469133,-34.553262,2022-03-17 08:28:08,"254 - Plaza Rafael Hernandez",-58.455166,-34.562161,"816498BAEcobici","FIT","FEMALE",2022-03-17
"16364228BAEcobici",1000,2022-11-17 19:31:09,"100 - Plaza Gurruchaga",-58.435187,-34.593141,2022-11-17 19:47:49,"223 - GAINZA",-58.446751,-34.616758,"839470BAEcobici","ICONIC","MALE",2022-11-17
"14148948BAEcobici",1226,2022-04-12 18:09:20,"079 - AZUCENA VILLAFLOR",-58.36393,-34.61189,2022-04-12 18:29:46,"012 - Plaza Vicente Lopez",-58.388807,-34.5927096,"336498BAEcobici","ICONIC","MALE",2022-04-12
"13760215BAEcobici",2580,2022-03-09 01:12:03,"027 - Montevideo",-58.3900887,-34.599068,2022-03-09 01:55:03,"303 - Huaura",-58.4532798579487,-34.5968492889416,"840968BAEcobici","ICONIC","MALE",2022-03-09
"14315841BAEcobici",1697,2022-04-28 20:05:54,"100 - Plaza Gurruchaga",-58.435187,-34.593141,2022-04-28 20:34:11,"340 - PLAZA NUEVA POMPEYA",-58.415771,-34.6518464,"343655BAEcobici","FIT","OTHER",2022-04-28
"13326142BAEcobici",896,2022-01-24 14:54:35,"159 - Fitz Roy & Gorriti",-58.437339,-34.58495,2022-01-24 15:09:31,"029 - Parque Centenario",-58.4335573,-34.6079414,"354553BAEcobici","FIT","FEMALE",2022-01-24
"14472660BAEcobici",2563,2022-05-13 12:12:57,"058 - Ministro Carranza",-58.4346883,-34.5752773,2022-05-13 12:55:40,"395 - Agronomia II",-58.4848,-34.5893,"99972BAEcobici","ICONIC","OTHER",2022-05-13
"13403633BAEcobici",1556,2022-02-01 17:10:54,"129 - Velasco",-58.434875,-34.600275,2022-02-01 17:36:50,"093 - CARLOS CALVO",-58.3944635,-34.620798,"47082BAEcobici","ICONIC","MALE",2022-02-01
"13968803BAEcobici",1464,2022-03-28 17:35:36,"390 - De Los Ombues",-58.4281,-34.5602,2022-03-28 18:00:00,"066 - Billinghurst",-58.4138713,-34.5945475,"39826BAEcobici","FIT","OTHER",2022-03-28
"16536437BAEcobici",515,2022-12-03 12:52:25,"396 - PLAZA ALBERTI",-58.4579,-34.5557,2022-12-03 13:01:00,"289 - MONTAÑESES",-58.454181,-34.551304,"805007BAEcobici","FIT","MALE",2022-12-03
"16792681BAEcobici",342,2022-12-30 18:25:40,"149 - LIMA",-58.3813642,-34.6153266,2022-12-30 18:31:22,"147 - Constitución",-58.380707,-34.626851,"762919BAEcobici","ICONIC","MALE",2022-12-30
"15501486BAEcobici",590,2022-09-07 06:57:12,"364 - CERRETTI Y MANUELA PEDRAZA",-58.50025,-34.56912,2022-09-07 07:07:02,"281 - Villa Urquiza",-58.48692409,-34.573734,"811226BAEcobici","FIT","MALE",2022-09-07
"14285676BAEcobici",555,2022-04-26 16:10:29,"200 - AUSTRIA Y FRENCH",-58.4053617,-34.5890696,2022-04-26 16:19:44,"066 - Billinghurst",-58.4138713,-34.5945475,"836541BAEcobici","FIT","FEMALE",2022-04-26
"15616094BAEcobici",358,2022-09-16 07:18:55,"061 - Ministerio de Economia",-58.370716,-34.608936,2022-09-16 07:24:53,"164 - FACULTAD DE INGENIERIA",-58.3698984,-34.617301,"886044BAEcobici","FIT","MALE",2022-09-16
"13686224BAEcobici",450,2022-03-02 12:17:51,"093 - CARLOS CALVO",-58.3944635,-34.620798,2022-03-02 12:25:21,"146 - Hospital Francés",-58.4078419,-34.6221118,"39257BAEcobici","ICONIC","FEMALE",2022-03-02
"16771319BAEcobici",747,2022-12-28 18:08:56,"128 - PARQUE DEL BAJO",-58.36882117,-34.60515159,2022-12-28 18:21:23,"038 - Plaza Libertad",-58.3828403,-34.5970497,"850263BAEcobici","FIT","OTHER",2022-12-28
"14381767BAEcobici",354,2022-05-05 13:59:17,"135 - MARCELO T. DE ALVEAR",-58.377535,-34.595125,2022-05-05 14:05:11,"060 - 25 De Mayo",-58.371079,-34.6016509,"12889BAEcobici","ICONIC","MALE",2022-05-05
"16741019BAEcobici",372,2022-12-26 07:04:22,"151 - AIME PAINÉ",-58.361285,-34.6118145,2022-12-26 07:10:34,"128 - PARQUE DEL BAJO",-58.36882117,-34.60515159,"889387BAEcobici","ICONIC","MALE",2022-12-26
"15545557BAEcobici",1914,2022-09-10 20:13:09,"116 - HOSPITAL ALEMÁN",-58.4025894,-34.5921708,2022-09-10 20:45:03,"260 - SAN MIGUEL DE GARICOITS",-58.457799,-34.577329,"176309BAEcobici","ICONIC","MALE",2022-09-10
"16342975BAEcobici",931,2022-11-16 12:20:48,"036 - MAIPÚ",-58.3767677,-34.6045481,2022-11-16 12:36:19,"095 - ESMERALDA",-58.3781678,-34.6021121,"474494BAEcobici","ICONIC","FEMALE",2022-11-16
"16763018BAEcobici",1314,2022-12-27 23:18:49,"166 - Cementerio de Recoleta",-58.3941479428656,-34.5883466632398,2022-12-27 23:40:43,"057 - BELGRANO",-58.37125,-34.6126898,"288202BAEcobici","ICONIC","MALE",2022-12-27
"15646382BAEcobici",911,2022-09-19 12:15:23,"054 - Acuña de Figueroa",-58.4220694,-34.5982097,2022-09-19 12:30:34,"014 - Pacifico",-58.426387,-34.577424,"705898BAEcobici","ICONIC","MALE",2022-09-19
